starId,movieId
s000001168,AlR1
s000003357,AlR1
s000000291,AlR1
s000000886,AlR1
s000002015,AlR1
s000001519,AlR1
s000007355,AlR1
s000006859,AlR1
s000007356,AlR1
s000006859,AlR1
s000003344,ALs10
s000004726,ALs10
s000002899,ALs10
s000003714,AlT10
s000007357,AlT10
s000007358,AlT10
s000007359,AlT10
s000007360,AlT10
s000005354,ALv10
s000002325,ALv10
s000005948,ALv10
s000002548,ALv10
s000006667,ALv10
s000000553,ALv10
s000006346,ALv10
s000002885,ALv100
s000006672,ALv100
s000007361,ALv100
s000004444,ALv100
s000007362,ALv100
